sequence_ID,cell_line_name,pDNA_batch,days
SNU-840 311Cas9_RepC_p6_batch2,ACH-000280,2,21
A549-311Cas9 Rep A p5_batch3,ACH-000681,3,21
SNU-840 311Cas9_RepA_p6_batch2,ACH-000280,2,21
COLO320-311Cas9 Rep B p6_batch3,ACH-000202,3,21
Avana4pDNA20160601-311cas9 RepG10_batch2,pDNA,2,0
Panc.02.03-311cas9 Rep C p6_batch3,ACH-000042,3,21
A2058-311cas9_RepA_p6_batch3,ACH-000788,3,21
Avana4pDNA20160601-311cas9 RepG12_batch2,pDNA,2,0
A2058-311cas9_RepB_p6_batch3,ACH-000788,3,21
SNU-840 311Cas9_RepB_p6_batch2,ACH-000280,2,21
A549-311Cas9 Rep D p5_batch3,ACH-000681,3,21
Avana4pDNA20160601-311cas9 RepG09_batch2,pDNA,2,0
"Avana 4+ Hu pDNA (M-AA40, 9/30/15) 0.2pg/uL_batch3",pDNA,3,0
A549-311Cas9 Rep C p5_batch3,ACH-000681,3,21
NCI-H1048-311cas9_RepA_p6_batch3,ACH-000866,3,21
COLO320-311Cas9 Rep A p6_batch3,ACH-000202,3,21
NCI-H1048-311cas9_RepB_p6_batch3,ACH-000866,3,21
A549-311Cas9 Rep B p5_batch3,ACH-000681,3,21
Panc.02.03-311cas9 Rep B p6_batch3,ACH-000042,3,21
COLO320-311Cas9 Rep C p6_batch3,ACH-000202,3,21
"Avana 4+ Hu pDNA (M-AF34, 11/27/18) 0.2pg/uL_batch3",pDNA,3,0
Panc.02.03-311cas9 Rep D p6_batch3,ACH-000042,3,21
HT29-311Cas9_RepB_p6 AVANA_batch3,ACH-000552,3,21
Panc.02.03-311cas9 Rep A p6_batch3,ACH-000042,3,21
"Avana 4+ Hu pDNA (M-AA40, 9/30/15)_batch3",pDNA,3,0
HT29-311Cas9_RepA_p6 AVANA_batch3,ACH-000552,3,21
"Avana 4+ Hu pDNA (M-AA40, 9/30/15) (0.2pg/uL)_batch3",pDNA,3,0
Avana4pDNA20160601-311cas9 RepG11_batch2,pDNA,2,0
